"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1566180";"";"None";"325.48";"0";"3.64";"8";"S=C(Nc1ccccc1)NC1CCN(Cc2ccccc2)CC1";"IC50";"'='";"33000.0";"nM";"4.48";"";"";"UO_0000065";"13.77";"0.27";"0.84";"16.42";"0";"CHEMBL1654419";"Inhibition of Trypanosoma cruzi trypanothione reductase assessed as inhibition of thionitrobenzoate formation by microplate reader analysis";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1649477";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"33.0"
"CHEMBL1652420";"";"None";"264.40";"0";"1.85";"11";"CCN1CCC(NC(=S)Nc2cccnc2)CC1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1654419";"Inhibition of Trypanosoma cruzi trypanothione reductase assessed as inhibition of thionitrobenzoate formation by microplate reader analysis";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1649477";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"100.0"
"CHEMBL1362166";"";"None";"203.27";"0";"2.26";"13";"CSc1nncc(-c2ccccc2)n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1654421";"Inhibition of Trypanosoma cruzi X10/1 trypanothione reductase assessed as inhibition of thionitrobenzoate formation by microplate reader analysis";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1649477";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"100.0"
"CHEMBL1652422";"";"None";"309.42";"0";"3.91";"14B";"CCc1ccc2c(C)nc(NC3=NC(C)(C)CC(C)=N3)nc2c1";"IC50";"'='";"32000.0";"nM";"4.50";"";"";"UO_0000065";"14.53";"0.27";"0.58";"7.19";"0";"CHEMBL1654421";"Inhibition of Trypanosoma cruzi X10/1 trypanothione reductase assessed as inhibition of thionitrobenzoate formation by microplate reader analysis";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1649477";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"32.0"
"CHEMBL92155";"";"None";"492.00";"1";"5.59";"2a";"COc1ccc2nc3cc(Cl)ccc3c(NCCNS(=O)(=O)c3ccc4ccccc4c3)c2c1";"IC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"10.63";"0.21";"-0.36";"6.51";"0";"CHEMBL818118";"Inhibitory concentration against trypanothione reductase was determined";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133983";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"5.9"
"CHEMBL120147";"";"None";"339.31";"0";"2.34";"1";"O=C(Cc1ccc2ccccc2c1)NNC(=O)c1ccc([N+](=O)[O-])o1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL879202";"Compound was tested for inhibition of trypanothione reductase from Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1136044";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"25.0"
"CHEMBL224976";"";"None";"192.65";"0";"3.11";"5";"C=CC(=O)/C=C/c1ccccc1Cl";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"29.58";"0.60";"2.59";"33.39";"0";"CHEMBL916868";"Inhibition of Trypanosoma cruzi trypanothione reductase after 5 mins pre-incubation with NADPH in presence of 100 uM TS2 substrate";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1140293";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"2.0"
"CHEMBL152822";"";"None";"330.34";"0";"2.87";"11(3)";"O=C(O)CCCC1=C(CCCC(=O)O)C(=O)c2ccccc2C1=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL812446";"Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1134791";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"50.0"
"CHEMBL612055";"";"None";"325.48";"1";"5.00";"25, ZINC04128838";"CN1CCCC(CC2Oc3ccccc3Sc3ccccc32)C1";"IC50";"'='";"11500.0";"nM";"4.94";"";"";"UO_0000065";"15.18";"0.29";"-0.06";"39.61";"0";"CHEMBL1011823";"Inhibition of Trypanosoma cruzi Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1153395";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"11.5"
"CHEMBL474006";"";"None";"426.93";"0";"4.38";"12, ZINC02647011";"O=C(CN1C(=O)C2CC=CCC2C1=O)Nc1ccccc1Sc1ccc(Cl)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1011823";"Inhibition of Trypanosoma cruzi Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1153395";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"100.0"
