Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL3792611;;;423.45;0.0;3.3;29;Cc1ccc(S(=O)(=O)n2c3ccc([N+](=O)[O-])cc3c(=O)n2Cc2ccccc2)cc1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL3796812;Antichagasic activity against Trypanosoma cruzi CL-B5 intracellular amastigotes in mouse L929 cells assessed as growth inhibition after 7 days by beta galactosidase reporter gene assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L929;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3792306;1;Scientific Literature;Eur J Med Chem;2016.0;CHEMBL3307946;;;;
CHEMBL1081863;;;430.53;0.0;2.53;15;N=C(N)NCCC[C@@H](/C=C/S(=O)(=O)c1ccccc1)NC(=O)OCc1ccccc1;IC50;'=';19000.0;nM;4.72;;;UO_0000065;;;;;0;CHEMBL1116828;Antiparasitic activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1155398;1;Scientific Literature;Bioorg Med Chem Lett;2010.0;;;;;19.0
CHEMBL360792;;;427.5;0.0;3.1;5;CN(C)CCOC1OC[C@H](Cc2ccc3c(c2)OCO3)[C@@H]1Cc1ccc2c(c1)OCO2;IC50;'=';4700.0;nM;5.33;;;UO_0000065;;;;;0;CHEMBL833861;Trypanocidal activity against amastigote forms of Y strain of Trypanosoma cruzi;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142828;1;Scientific Literature;Bioorg Med Chem Lett;2005.0;;;;;4.7
CHEMBL505290;;;366.26;1.0;5.41;3f;Brc1cccc([C@@H]2C[C@@H]3Cc4ccc5ccccc5c4N2O3)c1;IC50;'=';18400.0;nM;4.74;;;UO_0000065;;;;;0;CHEMBL981444;Antiparasitic activity against Trypanosoma cruzi 320I04 intracellular amastigotes infected in african green monkey Vero cells after 72 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;Vero;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1154008;1;Scientific Literature;Bioorg Med Chem Lett;2009.0;CHEMBL3307520;;;;18.4
CHEMBL111695;;;288.22;0.0;2.42;30;CCCCCCCCC(P(=O)(O)O)P(=O)(O)O;IC50;'>';22360.0;nM;;;;UO_0000065;;;;;0;CHEMBL878642;Inhibitory concentration against Trypanosoma cruzi (amastigotes);F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1136233;1;Scientific Literature;Bioorg Med Chem Lett;2003.0;;;;;22.36
CHEMBL1091471;;;315.42;0.0;3.02;6;N#CCN(CCCCN1CCCC1)C(=O)OCc1ccccc1;IC50;'>';64000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1116828;Antiparasitic activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1155398;1;Scientific Literature;Bioorg Med Chem Lett;2010.0;;;;;64.0
CHEMBL1077318;;;425.51;0.0;3.04;11;N=C(N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1;IC50;'=';20900.0;nM;4.68;;;UO_0000065;;;;;0;CHEMBL1116828;Antiparasitic activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1155398;1;Scientific Literature;Bioorg Med Chem Lett;2010.0;;;;;20.9
CHEMBL1082042;;;538.67;1.0;3.57;18;CC(C)CC(NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1;IC50;'=';5600.0;nM;5.25;;;UO_0000065;;;;;0;CHEMBL1116828;Antiparasitic activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1155398;1;Scientific Literature;Bioorg Med Chem Lett;2010.0;;;;;5.6
CHEMBL1082043;;;524.65;1.0;3.18;19;CC(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1;IC50;'=';7300.0;nM;5.14;;;UO_0000065;;;;;0;CHEMBL1116828;Antiparasitic activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1155398;1;Scientific Literature;Bioorg Med Chem Lett;2010.0;;;;;7.3
CHEMBL1773682;MARINOQUINOLINE F;;311.34;0.0;4.43;6;O=C(c1c[nH]c2ccccc12)c1nc2ccccc2c2cc[nH]c12;IC50;'=';21800.0;nM;4.66;;;UO_0000065;;;;;0;CHEMBL1776732;Antiparasitic activity against Trypanosoma cruzi Tulahuen C4 amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1773069;1;Scientific Literature;J Nat Prod;2011.0;;;;;21.8
