Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL93743;;;306.37;0.0;2.18;7d;OC1(Cc2ccc3c(c2)COC3)c2ccccc2C2=NCCN21;IC50;'>';100.0;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL820656;"Inhibitory concentration against trypomastigotes (Y strain) of Trypanosoma cruzi; Inactive";F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1133815;1;Scientific Literature;Bioorg Med Chem Lett;2001.0;;;;;100.0
CHEMBL250270;LERCANIDIPINE;3.0;611.74;2.0;6.48;Lercanidipine;COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1;IC50;'=';8430.0;nM;5.07;;;UO_0000065;;;;;0;CHEMBL1286534;Antitrypanosomal activity against trypomastigotes of Trypanosoma cruzi infected in rhesus monkey LLC-MK2 cells after 48 hrs by MTT assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;LLC-MK2;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1275339;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307684;;;;8.43
CHEMBL1428;NIMODIPINE;4.0;418.45;0.0;2.97;Nimodipine;COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1;IC50;'=';32310.0;nM;4.49;;;UO_0000065;;;;;0;CHEMBL1286534;Antitrypanosomal activity against trypomastigotes of Trypanosoma cruzi infected in rhesus monkey LLC-MK2 cells after 48 hrs by MTT assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;LLC-MK2;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1275339;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307684;;;;32.31
CHEMBL1275672;;;309.49;0.0;3.56;6b;CC1S/C(=N/N=C/CCSc2ccccc2)NC1=S;IC50;'=';2300.0;nM;5.64;;;UO_0000065;;;;;0;CHEMBL1286003;Antitrypanosomal activity against trypomastigotes of Trypanosoma cruzi Y assessed as viability after 24 hrs by trypan blue exclusion assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1275380;1;Scientific Literature;Bioorg Med Chem;2010.0;;;;;2.3
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;BNZ;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';116.61;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL3071349;Antitrypanosomal activity against trypomastigote form of Trypanosoma cruzi NINOA after 24 hr by Neubauer counting method;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3046077;1;Scientific Literature;Med Chem Res;2013.0;;;;;116.61
CHEMBL4447402;;;295.43;0.0;1.66;4;CCCCCCNc1c(N(C)CCCN(C)C)c(=O)c1=O;IC50;'=';15800.0;nM;4.8;;;UO_0000065;;;;;0;CHEMBL4414430;Trypanocidal activity against Trypanosoma cruzi IRHOD/CO/2008/SN3 DTU 1 trypomastigotes derived from infected Balb/c mouse after 72 hrs by resazurin dye based assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4411344;1;Scientific Literature;Bioorg Med Chem;2019.0;;;;;15.8
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;Bdz;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';5000.0;nM;5.3;;;UO_0000065;;;;;0;CHEMBL3077670;Antitypanosomal activity against benznidazole-resistant trypomastigote stage of Trypanosoma cruzi Y assessed as parasite growth inhibition after 24 hr by hemacytometric analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3046533;1;Scientific Literature;Med Chem Res;2013.0;;;;;5.0
CHEMBL2282901;;;430.49;1.0;5.15;26;Cc1ccc(C2=NOC3(CSc4ccccc4C3=O)C2c2ccc([N+](=O)[O-])cc2)cc1;IC50;;;;;;Not Active;;;;;;0;CHEMBL3077670;Antitypanosomal activity against benznidazole-resistant trypomastigote stage of Trypanosoma cruzi Y assessed as parasite growth inhibition after 24 hr by hemacytometric analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3046533;1;Scientific Literature;Med Chem Res;2013.0;;;;;
CHEMBL2282895;;;431.51;1.0;5.05;20;COc1ccc(C2=NOC3(SCc4ccccc4C3=O)C2c2ccc(OC)cc2)cc1;IC50;'=';1500.0;nM;5.82;;;UO_0000065;;;;;0;CHEMBL3077670;Antitypanosomal activity against benznidazole-resistant trypomastigote stage of Trypanosoma cruzi Y assessed as parasite growth inhibition after 24 hr by hemacytometric analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3046533;1;Scientific Literature;Med Chem Res;2013.0;;;;;1.5
CHEMBL2282894;;;415.51;1.0;5.35;19;COc1ccc(C2=NOC3(SCc4ccccc4C3=O)C2c2ccc(C)cc2)cc1;IC50;'=';1900.0;nM;5.72;;;UO_0000065;;;;;0;CHEMBL3077670;Antitypanosomal activity against benznidazole-resistant trypomastigote stage of Trypanosoma cruzi Y assessed as parasite growth inhibition after 24 hr by hemacytometric analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3046533;1;Scientific Literature;Med Chem Res;2013.0;;;;;1.9
